2020 GJ2, 6, 2458956.540100623, 2020-Apr-17 00:58, 0.0293941713875369, 0.0292776350164198, 0.0295107051409497, 8.00476844831277, 7.99343636188931, < 00:01, 24.683,        (2020 GJ2)
2020 GD3, 1, 2458956.588145977, 2020-Apr-17 02:07, 0.0386069119741462, 0.0381387209363955, 0.0390750498947026, 5.4067665365818, 5.39398676061236, 00:27, 27.223,        (2020 GD3)
2020 GR2, 3, 2458957.289242124, 2020-Apr-17 18:57, 0.0318820290707577, 0.0316511384962182, 0.0321128922410348, 4.32954711527574, 4.31020093095171, 00:15, 26.382,        (2020 GR2)
2020 GT2, 4, 2458957.546176068, 2020-Apr-18 01:06, 0.0145950184825807, 0.0145500020439894, 0.0146400343192699, 12.9747984485231, 12.9607203901164, < 00:01, 25.176,        (2020 GT2)
2020 GZ2, 2, 2458958.970692887, 2020-Apr-19 11:18, 0.00548820753189056, 0.00546329725673644, 0.00551311563088858, 9.47024283303349, 9.41883835025007, 00:01, 27.893,        (2020 GZ2)
2020 FV6, 12, 2458959.061640862, 2020-Apr-19 13:29, 0.0276180937176812, 0.0275213911196279, 0.0277147959871671, 19.7715509539821, 19.7666708225309, < 00:01, 22.989,        (2020 FV6)
2020 GA3, 1, 2458960.450502348, 2020-Apr-20 22:49, 0.0206787205713129, 0.0202034313778892, 0.021153991916212, 17.3587862405251, 17.351361825834, 00:04, 25.115,        (2020 GA3)
2020 GB3, 1, 2458962.105304816, 2020-Apr-22 14:32, 0.034204055302524, 0.0336377627053365, 0.0347702566122952, 5.36349671340358, 5.34895297825719, 00:18, 26.453,        (2020 GB3)
2019 HS2, 1, 2458966.152625690, 2020-Apr-26 15:40, 0.0348824410698557, 0.0271911684661752, 0.0429017745864103, 12.5620619610594, 12.5559799150235, 05:02, 26.6,        (2019 HS2)
2019 GF1, 8, 2458966.538779060, 2020-Apr-27 00:56, 0.0478328262504418, 0.0478223839398162, 0.0478432685923683, 3.23124516935633, 3.21395976357429, 00:03, 27.4,        (2019 GF1)
2020 FM6, 14, 2458966.692289165, 2020-Apr-27 04:37, 0.0367365504832735, 0.0367151106376314, 0.03675799034554, 16.940915954796, 16.9366340995369, 00:01, 21.882,        (2020 FM6)
52768, 265, 2458968.913765695, 2020-Apr-29 09:56, 0.0420485083107097, 0.0420484388813555, 0.0420485777400662, 8.70158494616017, 8.69429968306753, < 00:01, 15.8,  52768 (1998 OR2)
2020 GY2, 1, 2458969.662481372, 2020-Apr-30 03:54, 0.0440904810709866, 0.0432585102652322, 0.0449224388506378, 16.2929648153319, 16.2892553028084, 01:28, 23.743,        (2020 GY2)
2020 DM4, 36, 2458970.920034346, 2020-May-01 10:05, 0.0472101693992915, 0.0472031702811602, 0.0472171685159146, 6.39484751302792, 6.38601576633156, < 00:01, 21.734,        (2020 DM4)
2020 GE3, 1, 2458973.685272624, 2020-May-04 04:27, 0.0487557342251224, 0.0478233298196411, 0.0496880275703396, 5.22171306219366, 5.21123672340647, 00:42, 26.112,        (2020 GE3)
438908, 70, 2458977.012809433, 2020-May-07 12:18, 0.0226842894243701, 0.0226831507877945, 0.0226854280613029, 12.7810427734221, 12.771849353213, < 00:01, 20.5, 438908 (2009 XO)
2016 HP6, 18, 2458977.408943335, 2020-May-07 21:49, 0.0111238085347634, 0.011123481508082, 0.0111241355628612, 5.72237539776477, 5.68036278465796, < 00:01, 25.3,        (2016 HP6)
388945, 135, 2458980.095239831, 2020-May-10 14:17, 0.0186720322692587, 0.0186719258459377, 0.0186721386932122, 8.77648770899162, 8.76021338853529, < 00:01, 20.4, 388945 (2008 TZ3)
2000 KA, 28, 2458981.972033005, 2020-May-12 11:20, 0.0227110489829809, 0.0227105262139515, 0.0227115727736159, 13.4981411428435, 13.4894467133638, < 00:01, 21.7,        (2000 KA)
478784, 41, 2458985.080720155, 2020-May-15 13:56, 0.0217318079294611, 0.0217317319459278, 0.0217318839133291, 3.56512414011612, 3.53056588076516, < 00:01, 25.5, 478784 (2012 UV136)
136795, 61, 2458991.406038014, 2020-May-21 21:45, 0.0411544143252339, 0.0411535664956426, 0.0411552621935323, 11.6761146143619, 11.6705683477687, < 00:01, 18.0, 136795 (1997 BQ)
163348, 121, 2459006.639047829, 2020-Jun-06 03:20, 0.0340483555679983, 0.0340470945348114, 0.0340496166034632, 11.1461805768824, 11.1391575070987, < 00:01, 20.1, 163348 (2002 NN4)
2013 XA22, 8, 2459009.846160339, 2020-Jun-09 08:18, 0.027119651833943, 0.0136640375651358, 0.0407527671552372, 6.46607527596498, 6.4508628434832, 1_06:44, 22.8,        (2013 XA22)
2017 MF7, 2, 2459015.048308360, 2020-Jun-14 13:10, 0.00945459890176152, 0.00233950242545865, 0.0346311846374772, 10.9240840431837, 10.8982556177093, 4_10:36, 25.9,        (2017 MF7)
2018 PD22, 1, 2459020.027677025, 2020-Jun-19 12:40, 0.044132379870074, 0.0407542503246079, 0.120799828898182, 14.649551198898, 14.6454293526228, 18:52, 24.0,        (2018 PD22)
441987, 119, 2459024.780342821, 2020-Jun-24 06:44, 0.0251191829450262, 0.025119170171552, 0.025119195718509, 12.8869024202131, 12.8786686817051, < 00:01, 21.4, 441987 (2010 NY65)
2017 FW128, 4, 2459026.112988373, 2020-Jun-25 14:43, 0.0175562337194048, 0.00819040636673851, 0.0323166684695127, 5.44814073750671, 5.42021225988423, 5_16:53, 27.5,        (2017 FW128)
